,campaign_name,adset_name,Region,Age Range,TargetAudience
0,USP_2_Lead-gen-2_Top4-states_050424,USP-2_KA_TN_050424,India: Karnataka; Tamil Nadu,25-35,CSE
1,USP_2_Lead-gen-2_Top4-states_050424,USP-2_KA_TN_050424,India: Karnataka; Tamil Nadu,25-35,CSE
2,USP_2_Lead-gen-2_Top4-states_050424,USP-2_KA_TN_050424,India: Karnataka; Tamil Nadu,25-35,CSE
3,USP_2_Lead-gen-2_Top4-states_050424,USP-2_AP_TS_050424,India: Andhra Pradesh; Telangana,25-35,CSE
4,USP_2_Lead-gen-2_Top4-states_050424,USP-2_AP_TS_050424,India: Andhra Pradesh; Telangana,25-35,CSE
5,USP_2_Lead-gen-2_Top4-states_050424,USP-2_AP_TS_050424,India: Andhra Pradesh; Telangana,25-35,CSE
6,USP Study Abroad_Generic_240224,All India Generic Leads Ad Set_240224,nan,,
7,USP_2_Lead-gen-2_Top4-states_050424,USP-2_AP_TS_050424,India: Andhra Pradesh; Telangana,25-35,CSE
8,USP_2_Lead-gen-1_220124,USP-2_Data_Job-title_India_exclude_KATNTSAP,"India excl AP,KA,TM,TL",24-30,CSE
9,USP_2_Lead-gen-1_220124,USP-2_Data_Job-title_India_exclude_KATNTSAP,"India excl AP,KA,TM,TL",24-30,CSE
10,USP_2_Lead-gen-1_220124,USP-2_Data_Job-title_India_exclude_KATNTSAP,"India excl AP,KA,TM,TL",24-30,CSE
11,USP_2_Lead-gen-1_220124,USP-2_Data_Job-title_India_exclude_KATNTSAP,"India excl AP,KA,TM,TL",24-30,CSE
12,USP Study Abroad_Generic_240224,All India Generic Leads Ad Set_240224,nan,,
13,USP Study Abroad_Generic_240224,All India Generic Leads Ad Set_240224,nan,,
14,USP Study Abroad_Generic_240224,All India Generic Leads Ad Set_240224,nan,,
15,USP_2_Lead-gen-1_220124,USP-2_Data_Job-title_India_exclude_KATNTSAP,"India excl AP,KA,TM,TL",24-30,CSE
16,USP Study Abroad_Generic_240224,All India focusing on Uni Ad Set_060324,nan,,
17,USP Study Abroad_Generic_240224,All India Counselling Look-a-like_290224,nan,,
18,USP Study Abroad_Generic_240224,All India Counselling Look-a-like_290224,nan,,
19,USP Study Abroad_Generic_240224,All India Counselling Look-a-like_290224,nan,,
20,USP Study Abroad_Generic_240224,All India Counselling Look-a-like_290224,nan,,
